project_project_code,project_project_name,project_project_status,task_name,task_status,handler_user_user_name,plan_finish_time
PROJ00000001,国投中债-BI-实施项目,完成回款,工行北京BI需求分析,正常结束,,2025-12-11 00:00:00
PROJ00000001,国投中债-BI-实施项目,完成回款,工行北京BI产品设计,正常结束,,2026-01-21 00:00:00
PROJ00000001,国投中债-BI-实施项目,完成回款,工行北京BI功能开发,正常结束,,2026-02-21 00:00:00
PROJ00000001,国投中债-BI-实施项目,完成回款,工行北京BI特性测试,正常结束,,2026-03-01 00:00:00
PROJ00000003,工行北京-CRM-实施项目,收入确认,工行北京2-BI需求,正常结束,,2025-12-13 00:00:00
PROJ00000003,工行北京-CRM-实施项目,收入确认,工行北京2-BI开发,正常结束,,2026-02-16 00:00:00
PROJ00000004,海淀政府-CRM-实施项目,完成回款,招商银行BI需求,正常结束,,2025-11-13 00:00:00
PROJ00000004,海淀政府-CRM-实施项目,完成回款,招商银行BI设计,正常结束,,2025-12-21 00:00:00
PROJ00000004,海淀政府-CRM-实施项目,完成回款,招商银行BI开发,正常结束,,2026-01-23 00:00:00
PROJ00000004,海淀政府-CRM-实施项目,完成回款,招商银行BI测试,正常结束,,2026-01-29 00:00:00
PROJ00000006,招行上海-MASS-实施项目,收入确认,浦发BI需求,正常结束,,2025-12-15 00:00:00
PROJ00000006,招行上海-MASS-实施项目,收入确认,浦发BI开发,正常结束,,2026-02-17 00:00:00
PROJ00000008,浦发银行-数据工厂-实施项目,项目上线,广州卫健BI需求,正常结束,,2026-01-15 00:00:00
PROJ00000008,浦发银行-数据工厂-实施项目,项目上线,广州卫健BI开发,正常结束,,2026-03-16 00:00:00
PROJ00000010,粤省人民医院-BI-实施项目,收入确认,广东人民医院BI需求,正常结束,,2026-02-13 00:00:00
PROJ00000010,粤省人民医院-BI-实施项目,收入确认,广东人民医院BI开发,正常结束,,2026-04-15 00:00:00
PROJ00000011,平安银行-BI-实施项目,完成回款,平安银行BI需求,正常结束,,2026-01-12 00:00:00
PROJ00000011,平安银行-BI-实施项目,完成回款,平安银行BI设计,正常结束,,2026-02-21 00:00:00
PROJ00000011,平安银行-BI-实施项目,完成回款,平安银行BI开发,正常结束,,2026-03-23 00:00:00
PROJ00000011,平安银行-BI-实施项目,完成回款,平安银行BI测试,正常结束,,2026-03-29 00:00:00
PROJ00000012,平安银行-CRM-实施项目,项目上线,平安银行CRM需求,正常结束,,2026-02-16 00:00:00
PROJ00000012,平安银行-CRM-实施项目,项目上线,平安银行CRM设计,处理中,,2026-04-17 00:00:00
PROJ00000013,成都高新-CRM-实施项目,收入确认,成都高新CRM需求,正常结束,,2026-02-11 00:00:00
PROJ00000013,成都高新-CRM-实施项目,收入确认,成都高新CRM开发,处理中,,2026-04-13 00:00:00
PROJ00000015,武汉商行-BI-实施项目,完成回款,武汉商行BI需求,正常结束,,2026-02-13 00:00:00
PROJ00000015,武汉商行-BI-实施项目,完成回款,武汉商行BI开发,正常结束,,2026-04-15 00:00:00
PROJ00000016,武汉商行-CRM-实施项目,项目交付,武汉商行CRM需求,处理中,,2026-03-04 00:00:00
