"id","content_text","belong_emp_no","data_date","files","created_by","created_time","updated_by","updated_time","is_deleted"
131,【采购记录】今天下午15点打车到城南市场采购了5台新电脑给新员工使用，打车花费38元，采购新电脑花费28906元。,"0027024322","2025-12-02","","0027024322","2025-12-02 16:26:05","0027024322","2025-12-02 16:26:05",0
132,【商务宴请】今天下午17点请客户阿里巴巴王总吃饭花费489元,"0027024322","2025-12-02","","0027024322","2025-12-02 17:33:09","0027024322","2025-12-02 17:33:09",0
133,【交通费用】下午5点打车到公司开会花了5元。,"0027024322","2025-12-02","","0027024322","2025-12-02 18:09:12","0027024322","2025-12-02 18:09:12",0
134,【交通记录】今天早上9点打车到公司上班花费19元,"0027024322","2025-12-05","","0027024322","2025-12-05 17:38:46","0027024322","2025-12-05 17:38:46",0
135,【会议记录】今天去阿里中心开会，会议的主题是大模型的使用方案在成都,"0027017954","2025-12-08","","0027017954","2025-12-08 16:03:04","0027017954","2025-12-08 16:03:04",0
136,"【客户拜访】  
拜访时间：今天  
地点：未提供  
客户名称：广州银行（具体部门未提供）  
我方陪同人员：我  
交流事项：后续开发维护、AI产品介绍  
意向结果：客户对AI产品比较有兴趣  
下一步安排：继续沟通  

（注：根据交互规则，已严格按您提供的信息整合，未补充任何未提及的内容如具体时间/部门名称）","0027017954","2025-12-08","","0027017954","2025-12-08 16:08:38","0027017954","2025-12-08 16:08:38",0
137,【其他进展】我要记录一次吃饭,"0027017954","2025-12-09","","0027017954","2025-12-09 10:38:12","0027017954","2025-12-09 10:38:12",0
138,【费用报销】今天申请500元，请客户吃饭,"0027017954","2025-12-09","","0027017954","2025-12-09 11:39:23","0027017954","2025-12-09 11:39:23",0
139,【其他进展】今天我来鲸牛工作了,"0027031012","2025-12-23","","0027031012","2025-12-23 13:49:12","0027031012","2025-12-23 13:49:12",0
140,【会议记录】上午9点 开智能体开发的会,"0027031012","2025-12-23","","0027031012","2025-12-23 14:47:02","0027031012","2025-12-23 14:47:02",0
141,【客户拜访】今天上午，客户办公室，拜访了负责一汽客户的阿里BTE销售荣悦，我方陪同人员刘春利，我们交流了一汽目前在AI大模型方面的转型需求，稍后我们将发送百应相关的资料和浩鲸内部试用的场景给对应的阿里售前SA，探讨进一步的机会,"0027031012","2025-12-23","","0027031012","2025-12-23 14:51:25","0027031012","2025-12-23 14:51:25",0
142,【其他进展】今天完成了销售助手的发布,"0027017903","2025-12-24","","0027017903","2025-12-24 15:55:13","0027017903","2025-12-24 15:55:13",0
143,【其他进展】1、nginx的配置问题。2、docker的启动服务,"0027017903","2025-12-24","","0027017903","2025-12-24 15:55:49","0027017903","2025-12-24 15:55:49",0
144,【其他进展】今天完成了销售助手的发布,"0027017903","2025-12-24","","0027017903","2025-12-24 15:56:24","0027017903","2025-12-24 15:56:24",0
145,【费用报销】今天打车花了118，目的：上班,"0027022027","2025-12-23","","0027022027","2025-12-24 16:23:54","0027022027","2025-12-24 17:23:32",0
146,【费用报销】今天打车花了20，目的：上班,"0027022027","2025-12-25","","0027022027","2025-12-24 16:31:36","0027022027","2025-12-24 17:23:29",0
147,【费用报销】今天吃饭花了18 目的 出差伙食费,"0027022027","2025-12-25","","0027022027","2025-12-25 14:42:24","0027022027","2025-12-25 14:42:24",0
148,【费用报销】今天去成都新惠镇 花费18元 目的上班打车 时间2023年11月15日,"0027022027","2025-12-25","","0027022027","2025-12-25 15:50:27","0027022027","2025-12-25 15:50:27",0
149,【会议记录】今天10点整去成都和张三会议讨论AI发展,"0027022027","2025-12-25","","0027022027","2025-12-25 16:19:51","0027022027","2025-12-25 16:19:51",0
150,【会议记录】今天11点去红牌楼写字楼A栋与客户张三洽谈后续运维相关工作,"0027022027","2025-12-25","","0027022027","2025-12-25 16:56:04","0027022027","2025-12-25 16:56:04",0
151,【其他进展】今天完成了销售助手生产环境的发布,"0027017903","2025-12-25","","0027017903","2025-12-25 21:00:20","0027017903","2025-12-25 21:00:20",0
152,【会议记录】今天11点到成都天府新谷1栋和阿里巴巴会议，主题浩鲸科技未来ai发展,"0027022027","2025-12-26","","0027022027","2025-12-26 09:22:00","0027022027","2025-12-26 09:22:00",0
153,【费用报销】打车话费11元，目的去开会，时间今天10点,"0027022027","2025-12-26","","0027022027","2025-12-26 09:22:39","0027022027","2025-12-26 09:26:47",1
154,【其他进展】语音识别器,"0027017903","2025-12-26","","0027017903","2025-12-26 09:30:49","0027017903","2025-12-26 09:30:49",0
155,【其他进展】语音识别,"0027017903","2025-12-26","","0027017903","2025-12-26 09:34:33","0027017903","2025-12-26 09:34:33",0
156,【其他进展】语音识别,"0027022027","2025-12-26","","0027022027","2025-12-26 10:36:03","0027022027","2025-12-26 10:36:03",0
